title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Качающий узел гидромотора хода ZX330-3,hitachi,ZX330,,,,гидравлический компонент,гидромотор,гидромотор хода,,запчасти,группа вращения,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Фильтра Hyundai R170W-3,hyundai,R170W-7,,,,запчасти двигателя,фильтра,!,,,,,170,hyundai,R170W-7,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Запчасти насоса ZX330-3,hitachi,ZX330,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,!,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Пальцы втулки Hyundai R210NLC-7A,hyundai,R210LC-7,,,,рабочее оборудование,пальцы и втулки,!,,,,,210,hyundai,R 210LC-7,Для навесного оборудования,,,2024-02-03
Пальцы втулки Hyundai R320LC-7,hyundai,R320LC-7,,,,рабочее оборудование,пальцы и втулки,!,,,,,320,hyundai,R 320LC-7,Для навесного оборудования,,,2024-02-03
Пальцы втулки Hyundai R210LC-7 LR,hyundai,R210LC-7,,,,рабочее оборудование,пальцы и втулки,!,,,,,210,hyundai,R 210LC-7,Для навесного оборудования,,,2024-02-03
Запчасти насоса Volvo EC240,volvo,EC240,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,!,,240,volvo,EC240,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Пальцы втулки Hyundai R160LC-3,hyundai,R160LC-7,,,,рабочее оборудование,пальцы и втулки,!,,,,,160,hyundai,R 160LC-7,Для навесного оборудования,,,2024-02-03
Втулки рукояти Komatsu PC200-7,komatsu,PC200-7,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,втулка стрела-рукоять,,,200,komatsu,PC200-7,Для навесного оборудования,,,2024-02-03
Планетарная ступень CAT 330B L/LN,cat,330,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,330,cat,330,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Прокладка гбц Komatsu PC200-7,komatsu,PC200-7,,,,запчасти двигателя,прокладка,прокладка гбц,,,,,200,komatsu,PC200-7,Двигатели и комплектующие,"Блоки цилиндров, ГБЦ и картеры",,2024-02-03
Пальцы втулки Hyundai R220LC-9S LR,hyundai,R220LC-9S,,,,рабочее оборудование,пальцы и втулки,!,,,,,220,hyundai,R 220LC-9S,Для навесного оборудования,,,2024-02-03
Гидроцилиндр ковша ZX200-5G,hitachi,ZX200-5G,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,200,hitachi,ZX200-5G,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Планетарная передача CAT 325C CR,cat,325,,,,трансмиссия,колесный редуктор,,,,,,325,cat,325,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Втулки рукояти Hyundai R180LC-7A,hyundai,R180LC-7,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,втулка стрела-рукоять,,,180,hyundai,R 180LC-7,Для навесного оборудования,,,2024-02-03
Ремкомплект гидрораспределителя Komatsu PC200-7,komatsu,PC200-7,,,,гидравлический компонент,гидрораспределитель,,,запчасти,главный управляющий клапан,,200,komatsu,PC200-7,Гидравлические и пневмосистемы,Гидрораспределители,,2024-02-03
Втулки стрелы Komatsu PC200-7,komatsu,PC200-7,,,,рабочее оборудование,пальцы и втулки,втулки,втулки стрелы,!,,,200,komatsu,PC200-7,Для навесного оборудования,,,2024-02-03
Запчасти редуктора хода CAT 325C L LR,cat,325,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,325,cat,325,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Ремкомплект гидронасоса ZX200-5G,hitachi,ZX200-5G,,,,гидравлический компонент,гидронасос,гидронасос основной,,запчасти,комплект уплотнений,,200,hitachi,ZX200-5G,Гидравлические и пневмосистемы,Гидромоторы и гидронасосы,,2024-02-03
Форсунка ZX330-3,hitachi,ZX330,,,,запчасти двигателя,форсунка,,,,,,330,hitachi,ZX330,Двигатели и комплектующие,Система впуска,,2024-02-03
